gene id,cancer_164,cancer_170,cancer_260,normal_1,normal_2,normal_3
ENSG00000125166.14,30.0,67.0,19.999959999999998,679.12432,987.00045,357.9997
ENSG00000125170.12,1.9999996000000002,17.0,6.0,130.999910698,116.00007,87.0000000118447
ENSG00000125207.7,0.0,0.0,0.0,0.0,0.0,0.6870080199999999
ENSG00000125245.14,0.0,3.0,1.0,68.0,80.99998,75.00002
ENSG00000125246.17,10.0,2.0,0.0,127.36777000000001,142.75832,81.28436
ENSG00000125247.17,6.000001415,20.0,6.000006,203.00009050494998,147.99981,149.000081
ENSG00000125249.7,6.0,15.0,0.0,172.0003,164.0,116.0
ENSG00000125255.7,0.0,0.0,3.0,0.0,4.0,0.0
ENSG00000125257.17,37.0,4.0,4.0,386.99987369849,853.9998300000001,188.00000310000001
ENSG00000125266.9,3.0,15.0,2.08336,284.38417,421.9924,170.394
ENSG00000125285.6,0.0,3.0,0.0,231.0,123.0,128.0
ENSG00000125304.11,51.0,25.0,19.00002,5338.990400000001,3591.00413,4515.00004
ENSG00000125319.16,14.99997232,7.0,5.0,55.000025891659995,40.000025,19.000019079
ENSG00000125337.22,0.0,7.0,0.0,0.0,6.0,1.01231
ENSG00000125347.16,160.8554200466763,56.000075925730094,47.0000570743304,571.3755200236154,1281.41544,278.63662
ENSG00000125351.15,55.437200012741805,14.99995,28.0,772.99998,603.0007,618.00097
ENSG00000125352.6,9.0,14.0,4.0,98.0,134.0,91.0
ENSG00000125354.25,45.0,2.0,2.0,315.00908,619.00047,197.99999
ENSG00000125355.17,9.0,9.0,4.0,74.0,32.99996,46.000000027044905
ENSG00000125356.8,23.0,3.0,4.0,2449.99892,2927.0020499999996,2050.99576
